中文术语,英文翻译,领域,添加日期,是否已确认
555定时器,555 timer,电路,2026-03-21,是
AD转换器,analog -digital converter (ADC),电路,2026-03-21,是
DA转换器,digital-analog converter (DAC),电路,2026-03-21,是
D触发器,D flip-flop,电路,2026-03-21,是
J-K触发器,J-K flip-flop,电路,2026-03-21,是
LC振荡器,LC oscillator,电路,2026-03-21,是
NPN型晶体管,NPN transistor,电路,2026-03-21,是
N型半导体,N--type semiconductor,电路,2026-03-21,是
N沟道,n-channel,电路,2026-03-21,是
OCL功率放大器,output capacitorless power amplifier,电路,2026-03-21,是
OTL功率放大器,output transformerless power amplifier,电路,2026-03-21,是
PNP型晶体管,PNP transistor,电路,2026-03-21,是
PN结,PN junction,电路,2026-03-21,是
P型半导体,P-type semiconductor,电路,2026-03-21,是
P沟道,p-channel,电路,2026-03-21,是
RC振荡器,RC oscillator,电路,2026-03-21,是
一阶滤波器,first-order filter,电路,2026-03-21,是
一阶电路,first-order circuit,电路,2026-03-21,是
七段显示器,seven-segment display,电路,2026-03-21,是
三态门,tri-state gate,电路,2026-03-21,是
三相三线制,three-phase three-wire system,电路,2026-03-21,是
三相功率,three-phase power,电路,2026-03-21,是
三相四线制,three-phase four-wire system,电路,2026-03-21,是
三相异步电动机,three-phase asynchronous motor,电路,2026-03-21,是
三相电源,three-phase source,电路,2026-03-21,是
三相电路,three-phase circuit,电路,2026-03-21,是
三要素法,three-factor method,电路,2026-03-21,是
三角形连接,triangular connection(- connection ,delta connection),电路,2026-03-21,是
三角波发生器,triangular wave generator,电路,2026-03-21,是
上升沿,positive edge,电路,2026-03-21,是
上限截止频率,upper cut-off frequency,电路,2026-03-21,是
下降沿,negative edge,电路,2026-03-21,是
下限截止频率,lower cut-off frequency,电路,2026-03-21,是
与门,AND gate,电路,2026-03-21,是
与非门,NAND gate,电路,2026-03-21,是
中心频率,center frequency,电路,2026-03-21,是
中线,neutral line,电路,2026-03-21,是
中间继电器,intermediate relay,电路,2026-03-21,是
串联型稳压电源,series (voltage) regulator,电路,2026-03-21,是
串联谐振,series resonance,电路,2026-03-21,是
串联负反馈,series negative feedback,电路,2026-03-21,是
主从型触发器,master-slave flip-flop,电路,2026-03-21,是
乙类推挽功率放大器,class B push-pull power amplifier,电路,2026-03-21,是
二-十进制,binary coded decimal （BCD）,电路,2026-03-21,是
二极管,diode,电路,2026-03-21,是
二进制,binary,电路,2026-03-21,是
二进制数,binary number,电路,2026-03-21,是
二阶滤波器,second-order filter,电路,2026-03-21,是
交流分量,alternating current component,电路,2026-03-21,是
交流电动机,ac motor,电路,2026-03-21,是
交流电路,alternating current circuit (ac),电路,2026-03-21,是
交流通路,alternating current path,电路,2026-03-21,是
交越失真,cross-over distortion,电路,2026-03-21,是
亨利,Henry,电路,2026-03-21,是
仪表放大器,instrumentation amplifier,电路,2026-03-21,是
伏安特性,volt-ampere characteristic,电路,2026-03-21,是
伏特,Volt,电路,2026-03-21,是
低通滤波器,low-pass filter,电路,2026-03-21,是
倒相，反相,phase inversion,电路,2026-03-21,是
傅立叶级数,Fourier series,电路,2026-03-21,是
光电二极管,photodiode,电路,2026-03-21,是
全加器,full-adder,电路,2026-03-21,是
全波整流,full-wave rectifier,电路,2026-03-21,是
共射极放大器,common-emitter amplifier,电路,2026-03-21,是
共模信号,common-mode signal,电路,2026-03-21,是
共模增益,common-mode gain,电路,2026-03-21,是
共模抑制比,common-mode rejection ratio (CMRR),电路,2026-03-21,是
共源极放大器,common-source amplifier,电路,2026-03-21,是
共漏极放大器,common-drain amplifier,电路,2026-03-21,是
减法计数器,subtracting counter,电路,2026-03-21,是
切比雪夫滤波器,Chebyshev filter,电路,2026-03-21,是
初相位,initial phase,电路,2026-03-21,是
功率因数,power factor,电路,2026-03-21,是
功率因数补偿,power-factor compensation,电路,2026-03-21,是
功率放大器,power amplifier,电路,2026-03-21,是
加法计数器,adding counter,电路,2026-03-21,是
动态电阻,dynamic resistance,电路,2026-03-21,是
十六进制,hexadecimal,电路,2026-03-21,是
十进制,decimal,电路,2026-03-21,是
半加器,half-adder,电路,2026-03-21,是
半波整流,half-wave rectifier,电路,2026-03-21,是
单位增益带宽,unity-gain bandwidth,电路,2026-03-21,是
单相异步电动机,single-phase asynchronous motor,电路,2026-03-21,是
单结晶体管,unijunction transistor（UJT）,电路,2026-03-21,是
卡诺图,the Karnaugh map,电路,2026-03-21,是
参考方向,reference direction,电路,2026-03-21,是
参考电位,reference potential,电路,2026-03-21,是
双向移位寄存器,bidirectional shift register,电路,2026-03-21,是
双稳态触发器,bistable flip-flop,电路,2026-03-21,是
反向偏置,backward bias,电路,2026-03-21,是
反向漏电流,reverse leakage current,电路,2026-03-21,是
反对数放大器,antilog amplifier,电路,2026-03-21,是
反相器,inverter,电路,2026-03-21,是
反馈通道,feedback path,电路,2026-03-21,是
发光二极管,light-emitting diode (LED),电路,2026-03-21,是
发射极,emitter,电路,2026-03-21,是
叠加原理,superposition theorem,电路,2026-03-21,是
只读存储器,read-only memory（ROM）,电路,2026-03-21,是
可控整流,controlled rectifier,电路,2026-03-21,是
可控硅,silicon-controlled rectifier,电路,2026-03-21,是
可编程,ROM programmable ROM（PROM）,电路,2026-03-21,是
可编程控制器,programmable logic controller,电路,2026-03-21,是
同步电动机,synchronous motor,电路,2026-03-21,是
同步计数器,synchronous counter,电路,2026-03-21,是
和频,sum frequency,电路,2026-03-21,是
品质因数,quality factor,电路,2026-03-21,是
回路,loop,电路,2026-03-21,是
场效应管,field-effect transistor (FET),电路,2026-03-21,是
均方根值,root-mean-square value (rms),电路,2026-03-21,是
基尔霍夫定律,Kirchhoff’s law,电路,2026-03-21,是
基尔霍夫电压定律,Kirchhoff’s voltage law（KVL）,电路,2026-03-21,是
基尔霍夫电流定律,Kirchhoff’s current law（KCL）,电路,2026-03-21,是
基极,base,电路,2026-03-21,是
增强型,MOS场效应管 enhancement mode MOSFET（E-MOSFET）,电路,2026-03-21,是
复位,reset,电路,2026-03-21,是
复数阻抗,complex impedance,电路,2026-03-21,是
多级放大器,multistage amplifier,电路,2026-03-21,是
失真,distortion,电路,2026-03-21,是
失调电压,offset voltage,电路,2026-03-21,是
失调电流,offset current,电路,2026-03-21,是
夹断电压,pinch-off voltage,电路,2026-03-21,是
安培,Ampere,电路,2026-03-21,是
定子,stator,电路,2026-03-21,是
定时器,timer,电路,2026-03-21,是
容抗,capacitive reactance,电路,2026-03-21,是
寄存器,register,电路,2026-03-21,是
对数放大器,log amplifier,电路,2026-03-21,是
对称三相电源,symmetrical three-phase source,电路,2026-03-21,是
对称三相负载,symmetrical three-phase load,电路,2026-03-21,是
导通角,turn-on angle,电路,2026-03-21,是
射极跟随器,emitter-follower,电路,2026-03-21,是
峰点,peak point,电路,2026-03-21,是
差动放大器,differential amplifier,电路,2026-03-21,是
差模信号,different-mode signal,电路,2026-03-21,是
差频,difference frequency,电路,2026-03-21,是
布尔代数,Boolean algebra,电路,2026-03-21,是
带宽,bandwidth (BW),电路,2026-03-21,是
带宽,Bandwidth,电路,2026-03-21,是
带通滤波器,band-pass filter,电路,2026-03-21,是
带阻滤波器,band-stop filter,电路,2026-03-21,是
常开(动合)触点,normally open contact,电路,2026-03-21,是
常闭(动断)触点,normally closed contact,电路,2026-03-21,是
幅度,magnitude,电路,2026-03-21,是
幅频特性,amplitude-Frequency Response characteristic,电路,2026-03-21,是
平均值,average value,电路,2026-03-21,是
并联谐振,parallel resonance,电路,2026-03-21,是
并联负反馈,parallel negative feedback,电路,2026-03-21,是
开关,switch,电路,2026-03-21,是
开关型稳压电源,switching (voltage) regulator,电路,2026-03-21,是
开环增益,open-loop gain,电路,2026-03-21,是
开路,open,电路,2026-03-21,是
开路电压,open-circuit voltage,电路,2026-03-21,是
开路（断路）open,circuit,电路,2026-03-21,是
异或门,exclusive-OR gate,电路,2026-03-21,是
异步电动机,asynchronous motor,电路,2026-03-21,是
异步计数器,asynchronous counter,电路,2026-03-21,是
微分电路,differentiating circuit,电路,2026-03-21,是
微分电路,differentiator（circuit）,电路,2026-03-21,是
总的电压放大倍数,overall voltage gain,电路,2026-03-21,是
感抗,inductive reactance,电路,2026-03-21,是
或门,OR gate,电路,2026-03-21,是
或非门,NOR gate,电路,2026-03-21,是
截止,cut-off,电路,2026-03-21,是
截止区,cut-off region,电路,2026-03-21,是
截止失真,cut-off distortion,电路,2026-03-21,是
截止频率,cutoff frequency,电路,2026-03-21,是
截止频率,cut-off frequency,电路,2026-03-21,是
戴维宁定理,Thevenin’s theorem,电路,2026-03-21,是
扩散,diffusion,电路,2026-03-21,是
按钮,button,电路,2026-03-21,是
振荡器,oscillator,电路,2026-03-21,是
换路定理,low of switch,电路,2026-03-21,是
接触器,contactor,电路,2026-03-21,是
控制角,controlling angle,电路,2026-03-21,是
掺杂半导体,doped semiconductor,电路,2026-03-21,是
支路,branch,电路,2026-03-21,是
支路电流法,branch current analysis,电路,2026-03-21,是
放大区,amplifier region,电路,2026-03-21,是
放大器,amplifier,电路,2026-03-21,是
数字信号,digital signal,电路,2026-03-21,是
方波发生器,square wave generator,电路,2026-03-21,是
旁路电容,bypass capacitor,电路,2026-03-21,是
旋转磁场,rotating magnetic field,电路,2026-03-21,是
无功功率,reactive power,电路,2026-03-21,是
无源二端网络,passive two-terminal network,电路,2026-03-21,是
无稳态振荡器,astable oscillator,电路,2026-03-21,是
时序图,timing diagram,电路,2026-03-21,是
时序逻辑电路,sequential logic circuit,电路,2026-03-21,是
时钟脉冲,clock pulse,电路,2026-03-21,是
时间常数,time constant,电路,2026-03-21,是
时间继电器,time relay,电路,2026-03-21,是
星形连接,star connection(Y-connection),电路,2026-03-21,是
晶体,crystal,电路,2026-03-21,是
晶体管（三极管）,transistor,电路,2026-03-21,是
晶闸管,thyristor,电路,2026-03-21,是
暂态过程，暂态响应,transient response,电路,2026-03-21,是
有功功率,active power,电路,2026-03-21,是
有效值,effective value,电路,2026-03-21,是
有源二端网络,active two-terminal network,电路,2026-03-21,是
有源滤波器,active filter,电路,2026-03-21,是
本征半导体,intrinsic semiconductor,电路,2026-03-21,是
机械特性,mechanical characteristic,电路,2026-03-21,是
栅极,grid,电路,2026-03-21,是
梯形图,ladder diagram,电路,2026-03-21,是
模拟信号,analog signal,电路,2026-03-21,是
欧姆,Ohm,电路,2026-03-21,是
欧姆定律,Ohm’s law,电路,2026-03-21,是
正反馈,positive feedback,电路,2026-03-21,是
正向偏置,forward bias,电路,2026-03-21,是
正弦交流电路,sinusoidal a-c circuit,电路,2026-03-21,是
正弦波振荡器,sinusoidal oscillator,电路,2026-03-21,是
正弦电压,sinusoidal voltage,电路,2026-03-21,是
比较器,comparator,电路,2026-03-21,是
法拉,farad,电路,2026-03-21,是
波形图,waveform,电路,2026-03-21,是
波特图,Bode diagram,电路,2026-03-21,是
波特图,the Bode plot,电路,2026-03-21,是
波特沃斯滤波器,Butterworth filter,电路,2026-03-21,是
源极,source,电路,2026-03-21,是
滤波器,filter,电路,2026-03-21,是
漂移,drift,电路,2026-03-21,是
漏极,drain,电路,2026-03-21,是
热敏电阻,thermistor,电路,2026-03-21,是
热继电器,thermal overload relay,电路,2026-03-21,是
焦耳,Joule,电路,2026-03-21,是
熔断器,fuse,电路,2026-03-21,是
理想电压源,ideal voltage source,电路,2026-03-21,是
理想电流源,ideal current source,电路,2026-03-21,是
瓦特,Watt,电路,2026-03-21,是
甲类功率放大器,class A power amplifier,电路,2026-03-21,是
电位,potential,电路,2026-03-21,是
电位差,potential difference,电路,2026-03-21,是
电动势,electromotive force,电路,2026-03-21,是
电压,voltage,电路,2026-03-21,是
电压放大倍数,voltage gain,电路,2026-03-21,是
电压源,voltage source,电路,2026-03-21,是
电压跟随器,voltage-follower,电路,2026-03-21,是
电容,capacitance,电路,2026-03-21,是
电容器,capacitor,电路,2026-03-21,是
电容滤波器,capacitor filter,电路,2026-03-21,是
电平,level,电路,2026-03-21,是
电感,inductance,电路,2026-03-21,是
电感器,inductor,电路,2026-03-21,是
电感滤波器,inductor filter,电路,2026-03-21,是
电感（量），感应系数,inductance,电路,2026-03-21,是
电抗,reactance,电路,2026-03-21,是
电流,current,电路,2026-03-21,是
电流放大系数,current amplification coefficient,电路,2026-03-21,是
电流源,current source,电路,2026-03-21,是
电源,source,电路,2026-03-21,是
电源变换,source transformations,电路,2026-03-21,是
电路,circuit,电路,2026-03-21,是
电路元件,circuit element,电路,2026-03-21,是
电路模型,circuit model,电路,2026-03-21,是
电路的暂态过程分析暂态,transient state,电路,2026-03-21,是
电阻,resistance,电路,2026-03-21,是
电阻器,resistor,电路,2026-03-21,是
直接复位端,direct-reset terminal,电路,2026-03-21,是
直接置位端,direct-set terminal,电路,2026-03-21,是
直接耦合放大器,direct- coupled amplifier,电路,2026-03-21,是
直流分量,direct current component,电路,2026-03-21,是
直流电动机,dc motor,电路,2026-03-21,是
直流电路,direct current circuit (dc),电路,2026-03-21,是
直流通路,direct current path,电路,2026-03-21,是
相位,phase,电路,2026-03-21,是
相位差,phase difference,电路,2026-03-21,是
相位落后,phase lag,电路,2026-03-21,是
相位领先,phase lead,电路,2026-03-21,是
相电压,phase voltage,电路,2026-03-21,是
相电流,phase current,电路,2026-03-21,是
相移,phase shift,电路,2026-03-21,是
相量,phasor,电路,2026-03-21,是
相量图,phasor diagram,电路,2026-03-21,是
相频特性,phase-frequency response characteristic,电路,2026-03-21,是
真值表,truth table,电路,2026-03-21,是
瞬时值,instantaneous value,电路,2026-03-21,是
短路,short circuit,电路,2026-03-21,是
短路,shorted,电路,2026-03-21,是
短路电流,short-circuit current,电路,2026-03-21,是
硅二极管,silicon diode,电路,2026-03-21,是
磁场,magnetic field,电路,2026-03-21,是
磁感应强度,flux density,电路,2026-03-21,是
磁路,magnetic circuit,电路,2026-03-21,是
磁通,flux,电路,2026-03-21,是
磁通势,magnetomotive force,电路,2026-03-21,是
磁阻,reluctance,电路,2026-03-21,是
积分电路,integrating circuit,电路,2026-03-21,是
积分电路,integrator（circuit）,电路,2026-03-21,是
移位寄存器,shift register,电路,2026-03-21,是
稳压二极管,Zener diode,电路,2026-03-21,是
稳定性,stability,电路,2026-03-21,是
稳态,steady state,电路,2026-03-21,是
稳态触发器,monostable flip-flop,电路,2026-03-21,是
空穴,hole,电路,2026-03-21,是
等效电路,equivalent circuit,电路,2026-03-21,是
线电压,line voltage,电路,2026-03-21,是
线电流,line current,电路,2026-03-21,是
组合逻辑电路,combination logic circuit,电路,2026-03-21,是
结型场效应管,junction FET（JFET）,电路,2026-03-21,是
结点,node,电路,2026-03-21,是
结点电位法,node voltage analysis,电路,2026-03-21,是
继电器,relay,电路,2026-03-21,是
编码器,coder,电路,2026-03-21,是
网孔,mesh,电路,2026-03-21,是
网孔电流法,mesh current analysis,电路,2026-03-21,是
网络,network,电路,2026-03-21,是
置位,set,电路,2026-03-21,是
耗尽型,MOS场效应管 depletion mode MOSFET（D-MOSFET）,电路,2026-03-21,是
耦合电容,coupled capacitor,电路,2026-03-21,是
自由电子,free electron,电路,2026-03-21,是
行程开关,travel switch,电路,2026-03-21,是
补偿,compensation,电路,2026-03-21,是
视在功率,apparent power,电路,2026-03-21,是
角频率,angular frequency,电路,2026-03-21,是
触发器 R-S flip-flop,R-S,电路,2026-03-21,是
触发脉冲,trigger pulse,电路,2026-03-21,是
计数器,counter,电路,2026-03-21,是
译码器,decoder,电路,2026-03-21,是
语句表,statement list,电路,2026-03-21,是
诺顿定理,Norton’s theorem,电路,2026-03-21,是
谐振频率,resonance frequency,电路,2026-03-21,是
谷点,valley point,电路,2026-03-21,是
贝塞尔滤波器,Bessel filter,电路,2026-03-21,是
负反馈,negative feedback,电路,2026-03-21,是
负载电流,load current,电路,2026-03-21,是
负载电阻,load resistance,电路,2026-03-21,是
赫兹,Hertz,电路,2026-03-21,是
起动电流,starting current,电路,2026-03-21,是
起动转矩,starting torque,电路,2026-03-21,是
跨导,transconductance,电路,2026-03-21,是
转子,rotor,电路,2026-03-21,是
转差率,slip,电路,2026-03-21,是
转移函数,transfer function,电路,2026-03-21,是
载入,load,电路,2026-03-21,是
载流子,carriers,电路,2026-03-21,是
输入电阻,input resistance,电路,2026-03-21,是
输入阻抗,input impedance,电路,2026-03-21,是
输出电阻,output resistance,电路,2026-03-21,是
运算放大器,operational amplifier(op-amp),电路,2026-03-21,是
迟滞比较器,hysteresis comparator,电路,2026-03-21,是
通频带,pass-band,电路,2026-03-21,是
逻辑函数,logic function,电路,2026-03-21,是
逻辑表达式,logic expression,电路,2026-03-21,是
金属氧化物半导体,metal-oxide semiconductor (MOS),电路,2026-03-21,是
锁相环,phase-locked loop(PLL),电路,2026-03-21,是
锁相环相位监测器,PLL phase detector,电路,2026-03-21,是
锗二极管,germanium diode,电路,2026-03-21,是
门电路,gate,电路,2026-03-21,是
闭环增益,closed-loop gain,电路,2026-03-21,是
阳极,anode,电路,2026-03-21,是
阴极,cathode,电路,2026-03-21,是
阶跃输入电压,step input voltage,电路,2026-03-21,是
阻容耦合放大器,resistance-capacitance coupled amplifier,电路,2026-03-21,是
阻抗,impedance,电路,2026-03-21,是
随机存取存储器,random-access memory（RAM）,电路,2026-03-21,是
隔离放大器,isolation amplifier,电路,2026-03-21,是
集成稳压器,IC (voltage) regulator,电路,2026-03-21,是
集电极,collector,电路,2026-03-21,是
零点漂移,zero drift,电路,2026-03-21,是
静态工作点,quiescent point (Q-point),电路,2026-03-21,是
非门,NOT gate,电路,2026-03-21,是
频响特性（曲线）response,characteristic,电路,2026-03-21,是
频率,frequency,电路,2026-03-21,是
频率响应,frequency response,电路,2026-03-21,是
频率特性,frequency characteristic,电路,2026-03-21,是
额定功率,rated power,电路,2026-03-21,是
额定电压,rated voltage,电路,2026-03-21,是
额定电流,rated current,电路,2026-03-21,是
饱和,saturation,电路,2026-03-21,是
饱和区,saturation region,电路,2026-03-21,是
饱和失真,saturation distortion,电路,2026-03-21,是
饱和输出电平（电压）,saturated output level,电路,2026-03-21,是
高通滤波器,high-pass filter,电路,2026-03-21,是
